TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-09-30T22:45:16.095Z  read  3  1780.1     2.0     3.9     6.8   302.0
2020-09-30T22:46:16.092Z  read  3  1607.1     2.5     4.7     7.9   218.1
2020-09-30T22:47:16.088Z  read  3  1541.6     2.5     5.0     8.4    75.5
2020-09-30T22:48:16.085Z  read  3  1541.8     2.6     4.7     7.9    58.7
2020-09-30T22:49:16.081Z  read  3  1468.2     2.6     5.0     9.4   302.0
2020-09-30T22:50:16.078Z  read  3  1550.6     2.6     4.7     7.3    58.7
2020-09-30T22:51:16.075Z  read  3  1355.1     2.6     5.5    10.5   973.1
2020-09-30T22:52:16.071Z  read  3  1064.9     3.4     8.9    17.8   167.8
2020-09-30T22:53:16.068Z  read  3   996.7     3.5     9.4    19.9   453.0
2020-09-30T22:54:16.064Z  read  3  1420.7     2.8     5.2     8.9    58.7
2020-09-30T22:55:16.061Z  read  3  1439.7     2.8     5.2     8.4    48.2
2020-09-30T22:56:16.057Z  read  3  1400.3     2.8     5.2    10.0   671.1
2020-09-30T22:57:16.054Z  read  3  1415.8     2.8     5.2     8.1   385.9
2020-09-30T22:58:16.050Z  read  3  1372.2     2.8     5.5     9.4   369.1
2020-09-30T22:59:16.047Z  read  3  1065.8     2.9     6.0    13.1  2684.4
2020-09-30T23:00:16.044Z  read  3   257.3     6.8    31.5   117.4  2415.9
2020-09-30T23:01:16.040Z  read  3   313.7     6.6    25.2    56.6   738.2
2020-09-30T23:02:16.037Z  read  3   372.6     6.0    23.1    60.8  2550.1
2020-09-30T23:03:16.034Z  read  3   291.4     8.1    29.4    75.5  3489.7
2020-09-30T23:04:16.030Z  read  3   217.4     8.9    37.7   100.7  1140.9
2020-09-30T23:05:16.027Z  read  3   262.0     8.4    31.5    79.7   738.2
2020-09-30T23:06:16.024Z  read  3   308.2     7.1    27.3    83.9   939.5
2020-09-30T23:07:16.020Z  read  3   267.4     8.4    32.5    75.5   738.2
2020-09-30T23:08:16.017Z  read  3   248.3     6.3    25.2    56.6 10200.5
2020-09-30T23:09:16.013Z  read  3   196.9     7.1    33.6   184.5  9663.7
2020-09-30T23:10:16.011Z  read  3   359.0     5.2    18.9    41.9  7247.8
2020-09-30T23:11:16.007Z  read  3  1083.0     3.3     7.1    13.6    92.3
2020-09-30T23:12:16.003Z  read  3  1326.1     3.0     5.8     9.4    75.5
2020-09-30T23:13:16.000Z  read  3  1328.0     3.0     5.8    10.0    92.3
2020-09-30T23:14:15.997Z  read  3  1310.7     3.0     5.8    10.0   109.1
2020-09-30T23:15:15.993Z  read  3  1321.5     3.0     5.8     9.4    52.4
2020-09-30T23:16:15.989Z  read  3  1335.0     3.0     5.8    10.0    71.3
2020-09-30T23:17:15.986Z  read  3  1348.4     3.0     5.8     9.4    60.8
2020-09-30T23:18:15.983Z  read  3  1291.7     3.0     6.0    10.5    75.5
2020-09-30T23:19:15.979Z  read  3  1343.2     3.0     5.8     8.9    62.9
2020-09-30T23:20:15.976Z  read  3  1244.0     3.1     6.3    11.0    88.1
2020-09-30T23:21:15.973Z  read  3  1292.7     3.1     6.0    10.0    60.8
2020-09-30T23:22:15.969Z  read  3  1286.6     3.1     6.0    10.0   260.0
2020-09-30T23:23:15.966Z  read  3  1318.3     3.1     5.8    10.0    88.1
2020-09-30T23:24:15.963Z  read  3  1289.2     3.1     6.0    10.5   226.5
2020-09-30T23:25:15.960Z  read  3  1331.6     3.1     5.8     8.9    54.5
2020-09-30T23:26:15.956Z  read  3   899.2     3.3     8.9    18.9  3355.4
2020-09-30T23:27:15.952Z  read  3   328.3     7.1    25.2    65.0  3355.4
2020-09-30T23:28:15.949Z  read  3   356.7     7.6    27.3    65.0   671.1
2020-09-30T23:29:15.946Z  read  3   248.9     9.4    37.7   109.1  1073.7
