TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-11-10T23:00:00.693Z  read  1   257.0     2.0     3.3     4.1     4.7
2020-11-10T23:00:00.693Z write  1    76.0     3.4     4.2     6.3     6.3
2020-11-10T23:00:01.694Z  read  1   259.9     2.2     3.5     4.7     5.5
2020-11-10T23:00:01.694Z write  1    73.0     3.5     4.7     8.9     8.9
2020-11-10T23:00:02.693Z  read  1   266.1     2.2     3.5     4.2     5.0
2020-11-10T23:00:02.693Z write  1    67.0     3.4     4.5     6.0     6.0
2020-11-10T23:00:03.693Z  read  1   263.9     2.0     3.0     3.7     5.0
2020-11-10T23:00:03.693Z write  1    69.0     3.3     4.5     5.8     5.8
2020-11-10T23:00:04.694Z  read  1   255.0     2.0     3.1     4.1     4.7
2020-11-10T23:00:04.694Z write  1    78.0     3.3     4.2     4.5     4.5
2020-11-10T23:00:05.693Z  read  1   269.1     2.0     3.1     4.1     6.3
2020-11-10T23:00:05.693Z write  1    64.0     3.0     3.9     4.5     4.5
2020-11-10T23:00:06.694Z  read  1   280.9     2.0     3.1     5.0     7.3
2020-11-10T23:00:06.694Z write  1    52.0     3.1     4.2     4.7     4.7
2020-11-10T23:00:07.694Z  read  1   275.9     2.1     3.1     3.9     5.0
2020-11-10T23:00:07.694Z write  1    57.0     3.3     4.2     5.2     5.2
2020-11-10T23:00:08.693Z  read  1   272.3     2.0     3.3     4.2     6.3
2020-11-10T23:00:08.693Z write  1    61.1     3.3     4.7     7.1     7.1
2020-11-10T23:00:09.694Z  read  1   276.8     2.0     3.0     3.7     3.9
2020-11-10T23:00:09.694Z write  1    56.0     3.3     4.5     4.7     4.7
2020-11-10T23:00:10.694Z  read  1   268.0     2.0     3.1     3.8     4.5
2020-11-10T23:00:10.694Z write  1    65.0     3.1     4.1     4.2     4.2
2020-11-10T23:00:11.693Z  read  1   268.2     2.2     3.4     4.7     5.0
2020-11-10T23:00:11.693Z write  1    65.0     3.1     4.1     5.8     5.8
2020-11-10T23:00:12.693Z  read  1   267.0     2.1     3.3     3.8     4.5
2020-11-10T23:00:12.693Z write  1    66.0     3.1     4.1     4.5     4.5
2020-11-10T23:00:13.693Z  read  1   274.0     2.1     3.3     3.9     6.8
2020-11-10T23:00:13.693Z write  1    59.0     3.3     4.1     4.7     4.7
2020-11-10T23:00:14.693Z  read  1   257.1     2.0     3.1     3.5     5.0
2020-11-10T23:00:14.693Z write  1    76.0     3.1     4.2     5.5     5.5
2020-11-10T23:00:15.693Z  read  1   276.0     2.0     3.3     4.5     4.5
2020-11-10T23:00:15.693Z write  1    57.0     3.1     4.2     4.5     4.5
2020-11-10T23:00:16.694Z  read  1   260.7     2.1     3.1     3.5     4.1
2020-11-10T23:00:16.694Z write  1    71.9     3.1     4.1     5.8     5.8
2020-11-10T23:00:17.693Z  read  1   281.3     2.0     3.1     3.7     4.7
2020-11-10T23:00:17.693Z write  1    52.1     3.1     4.1     4.2     4.2
2020-11-10T23:00:18.693Z  read  1   264.0     2.1     3.1     4.5     6.3
2020-11-10T23:00:18.693Z write  1    69.0     3.1     4.5     5.0     5.0
2020-11-10T23:00:19.693Z  read  1   260.9     2.0     3.3     3.9     4.5
2020-11-10T23:00:19.693Z write  1    72.0     3.1     4.2     5.0     5.0
2020-11-10T23:00:20.694Z  read  1   261.9     2.0     3.1     3.7     4.1
2020-11-10T23:00:20.694Z write  1    70.0     3.1     4.5     6.8     6.8
2020-11-10T23:00:21.693Z  read  1   283.1     2.0     3.1     3.5     4.5
2020-11-10T23:00:21.693Z write  1    51.0     3.1     4.2     4.5     4.5
